,RawImage
0,mypic.npy
1,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1438_bacteria_3721.jpeg
2,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person755_bacteria_2659.jpeg
3,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person478_virus_975.jpeg
4,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person661_bacteria_2553.jpeg
5,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person276_bacteria_1296.jpeg
6,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1214_bacteria_3166.jpeg
7,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1353_virus_2333.jpeg
8,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person26_bacteria_122.jpeg
9,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person124_virus_238.jpeg
10,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1619_bacteria_4261.jpeg
11,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person890_bacteria_2814.jpeg
12,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1514_bacteria_3964.jpeg
13,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1491_bacteria_3893.jpeg
14,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person69_bacteria_338.jpeg
15,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person321_bacteria_1489.jpeg
16,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person281_bacteria_1329.jpeg
17,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person688_bacteria_2584.jpeg
18,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1598_bacteria_4197.jpeg
19,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person535_virus_1062.jpeg
20,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1222_bacteria_3177.jpeg
21,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person581_bacteria_2392.jpeg
22,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1233_virus_2090.jpeg
23,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1816_bacteria_4674.jpeg
24,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1812_bacteria_4667.jpeg
25,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1253_virus_2129.jpeg
26,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person407_virus_811.jpeg
27,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1415_bacteria_3629.jpeg
28,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1261_virus_2148.jpeg
29,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person472_bacteria_2015.jpeg
30,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person437_bacteria_1887.jpeg
31,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person60_bacteria_287.jpeg
32,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person616_bacteria_2487.jpeg
33,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1372_bacteria_3500.jpeg
34,/Users/ryanheadley/epitech/zoidberg_2020_15/project/dataset/train/PNEUMONIA/person1431_bacteria_3698.jpeg
